"search-number","evaluation","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","num-replicates","best-fitness-so-far"
"1","10","11","99","19","7","10","6853.1"
"1","30","11","99","20","14","10","6878.6"
"1","40","52","99","20","-5","10","31966.6"
"1","50","52","96","20","-5","10","31976.8"
"1","70","52","97","20","-18","10","32178.9"
"1","80","52","0","20","-18","10","32627.3"
"1","90","52","0","20","-5","10","32663.9"
"1","100","52","1","20","-5","10","32694.1"
"1","110","76","1","20","-5","10","47634.7"
"1","120","76","1","19","-5","10","47735.6"
"1","150","79","1","19","-5","10","49599.9"
"1","170","79","0","19","-5","10","49649.1"
"1","300","95","0","19","-5","10","59576.5"
